"Month","Price"
"2015-01",112
"2015-02",118
"2015-03",132
"2015-04",129
"2015-05",121
"2015-06",135
"2015-07",148
"2015-08",148
"2015-09",136
"2015-10",119
"2015-11",104
"2015-12",118
"2016-01",115
"2016-02",126
"2016-03",141
"2016-04",135
"2016-05",125
"2016-06",149
"2016-07",170
"2016-08",170
"2016-09",158
"2016-10",133
"2016-11",114
"2016-12",140
"2017-01",145
"2017-02",150
"2017-03",178
"2017-04",163
"2017-05",172
"2017-06",178
"2017-07",199
"2017-08",199
"2017-09",184
"2017-10",162
"2017-11",146
"2017-12",166
"2018-01",171
"2018-02",180
"2018-03",193
"2018-04",181
"2018-05",183
"2018-06",218
"2018-07",230
"2018-08",242
"2018-09",209
"2018-10",191
"2018-11",172
"2018-12",194
"2019-01",196
"2019-02",196
"2019-03",236
"2019-04",235
"2019-05",229
"2019-06",243
"2019-07",264
"2019-08",272
"2019-09",237
"2019-10",211
"2019-11",180
"2019-12",201
"2020-01",204
"2020-02",188
"2020-03",235
"2020-04",227
"2020-05",234
"2020-06",264
"2020-07",302
"2020-08",293
"2020-09",259
"2020-10",229
"2020-11",203
"2020-12",229
"2021-01",242
"2021-02",233
"2021-03",267
"2021-04",269
"2021-05",270
"2021-06",315
"2021-07",364
"2021-08",347
"2021-09",312
"2021-10",274
"2021-11",237
"2021-12",278
"2022-01",284
"2022-02",277
"2022-03",317
"2022-04",313
"2022-05",318
"2022-06",374
"2022-07",413
"2022-08",405
"2022-09",355
"2022-10",306
"2022-11",271
"2022-12",306
"2023-01",315
"2023-02",301
"2023-03",356
"2023-04",348
"2023-05",355
"2023-06",422
"2023-07",465
"2023-08",467
"2023-09",404
"2023-10",347
"2023-11",305
"2023-12",336
"2024-01",340
"2024-02",318
"2024-03",362
"2024-04",348
"2024-05",363
"2024-06",435
"2024-07",491
"2024-08",505
"2024-09",404
"2024-10",359
"2024-11",310
"2024-12",337
"2025-01",360
"2025-02",342
"2025-03",406
"2025-04",396
"2025-05",420
